 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	MRPS6          	PDE4DIP        	                  	Directed        	      	         	          	
 	MRPS6          	HSPB2          	                  	Directed        	      	         	          	
 	MRPS6          	RRAD           	                  	Directed        	      	         	          	
 	MRPS6          	HSS00212515    	                  	Directed        	      	         	          	
 	NUAK2          	CTSL1          	                  	Directed        	      	         	          	
 	CACNA1I        	UGT2B4         	                  	Directed        	      	         	          	
 	Contig46597_RC 	MSI2           	                  	Directed        	      	         	          	
 	ZNF273         	OAS1           	                  	Directed        	      	         	          	
 	ATPAF1         	HSS00334445    	                  	Directed        	      	         	          	
 	RSE_00000753518	MR1            	                  	Directed        	      	         	          	
 	RSE_00000753518	SNORD54        	                  	Directed        	      	         	          	
 	CLDN10         	PMS2L1         	                  	Directed        	      	         	          	
 	COL27A1        	C11orf52       	                  	Directed        	      	         	          	
 	TBC1D30        	RIT2           	                  	Directed        	      	         	          	
 	CNTN3          	PCDH20         	                  	Directed        	      	         	          	
 	CNTN3          	GLRA3          	                  	Directed        	      	         	          	
 	CEBPB          	NFIL3          	                  	Directed        	      	         	          	
 	CEBPB          	KIAA1949       	                  	Directed        	      	         	          	
 	CEBPB          	XBP1           	                  	Directed        	      	         	          	
 	MT1A           	ENST00000278205	                  	Directed        	      	         	          	
 	MT1A           	MLKL           	                  	Directed        	      	         	          	
 	MT1A           	MT1L           	                  	Directed        	      	         	          	
 	IFIH1          	HERC5          	                  	Directed        	      	         	          	
 	IFIH1          	SAMD9          	                  	Directed        	      	         	          	
 	Contig40464_RC 	S73397         	                  	Directed        	      	         	          	
 	Contig40464_RC 	GABRA2         	                  	Directed        	      	         	          	
 	Contig40464_RC 	CADM2          	                  	Directed        	      	         	          	
 	Contig40464_RC 	SPARCL1        	                  	Directed        	      	         	          	
 	PAPSS2         	STMN4          	                  	Directed        	      	         	          	
 	PPP3CB         	WDR47          	                  	Directed        	      	         	          	
 	PPP3CB         	PTPRO          	                  	Directed        	      	         	          	
 	PPP3CB         	DNM3           	                  	Directed        	      	         	          	
 	PPP3CB         	REEP1          	                  	Directed        	      	         	          	
 	HSS00078420    	AF147426       	                  	Directed        	      	         	          	
 	SCARA5         	NHEDC2         	                  	Directed        	      	         	          	
 	SCARA5         	C2orf40        	                  	Directed        	      	         	          	
 	SCARA5         	SLC38A4        	                  	Directed        	      	         	          	
 	SCARA5         	BMP4           	                  	Directed        	      	         	          	
 	CCL4L2         	CCL4           	                  	Directed        	      	         	          	
 	CCL4L2         	CCL4L2         	                  	Directed        	      	         	          	
 	AL137425       	GABRA2         	                  	Directed        	      	         	          	
 	AL137425       	MGAT4C         	                  	Directed        	      	         	          	
 	AL137425       	DNAJB14        	                  	Directed        	      	         	          	
 	AL137425       	WDR17          	                  	Directed        	      	         	          	
 	C9orf116       	EID2           	                  	Directed        	      	         	          	
 	CACNG3         	SLC30A3        	                  	Directed        	      	         	          	
 	CACNG3         	TMEM158        	                  	Directed        	      	         	          	
 	CACNG3         	hCT1643217.3   	                  	Directed        	      	         	          	
 	CACNG3         	RASL10A        	                  	Directed        	      	         	          	
 	CACNG3         	HPCAL1         	                  	Directed        	      	         	          	
 	CACNG3         	HPCA           	                  	Directed        	      	         	          	
 	CACNG3         	NPTXR          	                  	Directed        	      	         	          	
 	CACNG3         	STX1A          	                  	Directed        	      	         	          	
 	MYH10          	200383         	                  	Directed        	      	         	          	
 	MYH10          	RBM9           	                  	Directed        	      	         	          	
 	LRRC37A        	ARL17P1        	                  	Directed        	      	         	          	
 	LRRC37A        	SH3GLP1        	                  	Directed        	      	         	          	
 	GABARAPL1      	FHL2           	                  	Directed        	      	         	          	
 	S100A9         	SULT1B1        	                  	Directed        	      	         	          	
 	S100A9         	IL1R2          	                  	Directed        	      	         	          	
 	S100A9         	FPR2           	                  	Directed        	      	         	          	
 	S100A9         	HK3            	                  	Directed        	      	         	          	
 	S100A9         	S100A8         	                  	Directed        	      	         	          	
 	Contig35257_RC 	BC013940       	                  	Directed        	      	         	          	
 	Contig35257_RC 	AASS           	                  	Directed        	      	         	          	
 	COL6A3         	FBLN2          	                  	Directed        	      	         	          	
 	COL6A3         	ESM1           	                  	Directed        	      	         	          	
 	COL6A3         	POSTN          	                  	Directed        	      	         	          	
 	COL6A3         	Contig41804_RC 	                  	Directed        	      	         	          	
 	FOXC1          	TNFAIP8        	                  	Directed        	      	         	          	
 	FOXC1          	CYP3A5         	                  	Directed        	      	         	          	
 	FOXC1          	NR2F2          	                  	Directed        	      	         	          	
 	FOXC1          	PERP           	                  	Directed        	      	         	          	
 	FOXC1          	AFAP1L1        	                  	Directed        	      	         	          	
 	FOXC1          	TWIST1         	                  	Directed        	      	         	          	
 	PPARA          	FBXL7          	                  	Directed        	      	         	          	
