Source Node	Target Node	Interaction Type
TAF1C	TAF1B	Undirected
NEO1	CASP3	Undirected
Hsd11b1	Hsd11b1	Undirected
Pex6	Smad2	Undirected
Pex6	Smad3	Undirected
Pex6	Smad1	Undirected
Pex6	Smad4	Undirected
Pdlim2	Pdlim2	Undirected
BIRC3	TRAF2	Undirected
BIRC3	TRAF1	Undirected
EMD	BANF1	Undirected
Gsk3b	Ctnnb1	Undirected
RAB9B	RAB9B	Undirected
EPO	EPOR	Undirected
Ltbr	Traf5	Undirected
AK5	AK5	Undirected
BACH1	ATF2	Undirected
BACH1	ATF1	Undirected
BACH1	ATF7	Undirected
POLDIP2	PCNA	Undirected
POLDIP2	POLD2	Undirected
Rhoc	Diap1	Undirected
Timeless	Tipin	Undirected
Timeless	Timeless	Undirected
Timeless	Cry1	Undirected
Vgll2	TEAD1	Undirected
ARHGDIB	RAC2	Undirected
Rnd2	Ubxd5	Undirected
CEBPA	ATF4	Undirected
Hnrnpa0	Cxcl2	Undirected
Kpnb1	Kpnb1	Undirected
BIRC8	BIRC8	Undirected
NGF	NGF	Undirected
TRDV2	HLA-A	Undirected
Adipoq	Adipoq	Undirected
TLN1	MAP4	Undirected
TLN1	G3BP1	Undirected
TLN1	RPL23	Undirected
TLN1	ZFR	Undirected
TLN1	RBM3	Undirected
TLN1	STX3	Undirected
TLN1	BASP1	Undirected
TLN1	EWSR1	Undirected
TLN1	HNRNPH3	Undirected
TLN1	TPMT	Undirected
TLN1	VAT1	Undirected
TLN1	FRMPD1	Undirected
TLN1	FMNL1	Undirected
TLN1	BCLAF1	Undirected
TLN1	PTPRE	Undirected
TLN1	G3BP2	Undirected
TLN1	PABPC1	Undirected
TLN1	THSD1	Undirected
TLN1	RPSAP15	Undirected
TLN1	RG9MTD1	Undirected
TLN1	80079	Undirected
TLN1	KIAA1267	Undirected
TLN1	TLN1	Undirected
TLN1	HNRNPK	Undirected
TLN1	PDIA3	Undirected
TLN1	BAI2	Undirected
TLN1	SNRPE	Undirected
TLN1	GNB2L1	Undirected
TLN1	KHDRBS1	Undirected
TLN1	LRPAP1	Undirected
TLN1	SFRS3	Undirected
TLN1	SNRPF	Undirected
TLN1	SMYD3	Undirected
TLN1	FLNA	Undirected
TLN1	AVEN	Undirected
TLN1	ACTG1	Undirected
TLN1	FN1	Undirected
TLN1	YBX1	Undirected
TLN1	ARF1	Undirected
TLN1	PTPN11	Undirected
TLN1	CLASP1	Undirected
TLN1	UBAP2L	Undirected
TLN1	SNRPD3	Undirected
TLN1	LRP1	Undirected
TLN1	TFRC	Undirected
TLN1	SFPQ	Undirected
TLN1	GAPDH	Undirected
TLN1	FUS	Undirected
TLN1	RGS7	Undirected
TLN1	HMG20A	Undirected
TLN1	CIRBP	Undirected
TLN1	FMO4	Undirected
TLN1	PFKL	Undirected
TLN1	NET1	Undirected
TLN1	HNRNPH1	Undirected
TLN1	C2orf3	Undirected
TLN1	SCFD1	Undirected
CDKN2A	HUWE1	Undirected
